Course ID,Course Name,Department,Credit Hours,Type
AAS 330N,Migration Crisis,AAS,3,In-Residence
AAS 335,Topics in Asian American Studies,AAS,3,In-Residence
AAS 358Q,Supervised Research,AAS,3,In-Residence
AAS 377,Capstone Seminar,AAS,3,In-Residence
AAS 378,Community Internship,AAS,3,In-Residence
AAS 379,Conference Course in Asian American Studies,AAS,3,In-Residence
AAS 679H,Honors Tutorial Course,AAS,6,In-Residence
AAS 381,Topics in Asian American Studies,AAS,3,In-Residence
AAS 391C,Conference Course,AAS,3,In-Residence
ACC 310F,Foundations of Accounting,ACC,3,In-Residence
ACC 311 (TCCN: ACCT 2301),Fundamentals of Financial Accounting,ACC 311 (TCCN: ACCT,2,In-Residence
ACC 311H,Fundamentals of Financial Accounting: Honors,ACC,3,In-Residence
ACC 312 (TCCN: ACCT 2302),Fundamentals of Managerial Accounting,ACC 312 (TCCN: ACCT,2,In-Residence
ACC 312H,Fundamentals of Managerial Accounting: Honors,ACC,3,In-Residence
ACC 326,Financial Accounting--Intermediate,ACC,3,In-Residence
ACC 327,Financial Statement Analysis,ACC,3,In-Residence
ACC 329,Managerial Accounting and Control,ACC,3,In-Residence
ACC 334M,Healthcare Accounting,ACC,3,In-Residence
ACC 140S,Topics in Accounting,ACC,1,In-Residence
ACC 240S,Topics in Accounting,ACC,2,In-Residence
ACC 340S,Topics in Accounting,ACC,3,In-Residence
ACC 440S,Topics in Accounting,ACC,4,In-Residence
ACC 540S,Topics in Accounting,ACC,5,In-Residence
ACC 640S,Topics in Accounting,ACC,6,In-Residence
ACC 740S,Topics in Accounting,ACC,7,In-Residence
ACC 840S,Topics in Accounting,ACC,8,In-Residence
ACC 940S,Topics in Accounting,ACC,9,In-Residence
ACC 151,Accounting Careers Exploration,ACC,1,In-Residence
ACC 152,Master in Professional Accounting Distinguished Speaker Lyceum,ACC,1,In-Residence
ACC 355,Introduction to Taxation,ACC,3,In-Residence
ACC 356,Financial Accounting Concepts and Research,ACC,3,In-Residence
ACC 358C,Auditing and Other Assurance Services,ACC,3,In-Residence
ACC 359,Managerial/Cost Accounting,ACC,3,In-Residence
ACC 362,Auditing and Control,ACC,3,In-Residence
ACC 364,Fundamentals of Taxation,ACC,3,In-Residence
ACC 366C,International Accounting and Transfer Pricing,ACC,3,In-Residence
ACC 366P,Accounting Practicum,ACC,3,In-Residence
ACC 372T,Topics in Accounting,ACC,3,In-Residence
ACC 179C,Independent Research in Accounting,ACC,1,In-Residence
ACC 379C,Independent Research in Accounting,ACC,3,In-Residence
ACC 180C,MPA Distinguished Speaker Lyceum,ACC,1,In-Residence
ACC 380D,Advanced Topics in Financial Reporting,ACC,3,In-Residence
ACC 280J,Financial Statement Analysis for Executives,ACC,2,In-Residence
ACC 180K,Contemporary Accounting Topics,ACC,1,In-Residence
ACC 280K,Contemporary Accounting Topics,ACC,2,In-Residence
ACC 380K,Contemporary Accounting Topics,ACC,3,In-Residence
ACC 381,Financial Accounting,ACC,3,In-Residence
ACC 381M,Financial Accounting Issues in Business Decisions,ACC,3,In-Residence
ACC 381N,Managerial Accounting and Financial Statement Analysis,ACC,3,In-Residence
ACC 281P,Performance Management and Control for Executives,ACC,2,In-Residence
ACC 382K,Studies in Accounting Information Systems,ACC,3,In-Residence
ACC 383K,Studies in Auditing,ACC,3,In-Residence
ACC 184,Research and Planning in Federal Taxes,ACC,1,In-Residence
ACC 284,Research and Planning in Federal Taxes,ACC,2,In-Residence
ACC 384,Research and Planning in Federal Taxes,ACC,3,In-Residence
ACC 484,Research and Planning in Federal Taxes,ACC,4,In-Residence
ACC 386K,Studies in Accounting Theory,ACC,3,In-Residence
ACC 287,Studies in Profit Planning and Control,ACC,2,In-Residence
ACC 387,Studies in Profit Planning and Control,ACC,3,In-Residence
ACC 191C,Special Studies in Accounting,ACC,1,In-Residence
ACC 291C,Special Studies in Accounting,ACC,2,In-Residence
ACC 391C,Special Studies in Accounting,ACC,3,In-Residence
ACC 691C,Special Studies in Accounting,ACC,6,In-Residence
ACC 192N,Master in Professional Accounting Internship,ACC,1,In-Residence
ACC 292N,Master in Professional Accounting Internship,ACC,2,In-Residence
ACC 392N,Master in Professional Accounting Internship,ACC,3,In-Residence
ACC 492N,Master in Professional Accounting Internship,ACC,4,In-Residence
ACC 592N,Master in Professional Accounting Internship,ACC,5,In-Residence
ACC 692N,Master in Professional Accounting Internship,ACC,6,In-Residence
ACC 698,Thesis,ACC,6,In-Residence
ACC 398R,Master's Report,ACC,3,In-Residence
ACC 399W,Dissertation,ACC,3,In-Residence
ACC 699W,Dissertation,ACC,6,In-Residence
ACC 999W,Dissertation,ACC,9,In-Residence
ACF 110C,Conference Course,ACF,1,In-Residence
ACF 210C,Conference Course,ACF,2,In-Residence
ACF 310C,Conference Course,ACF,3,In-Residence
ACF 410C,Conference Course,ACF,4,In-Residence
ACF 110T,Conference Course: Texas Department of Insurance Internship,ACF,1,In-Residence
ACF 112M,Actuarial Laboratory on Probability and Statistics,ACF,1,In-Residence
ACF 329,Theory of Interest,ACF,3,In-Residence
ACF 129D,Introductory Actuarial Financial Mathematics,ACF,1,In-Residence
ADV 303,Advertising and Popular Culture,ADV,3,In-Residence
ADV 305,Fundamentals of Advertising,ADV,3,In-Residence
ADV 305S,Introduction to Integrated Communication for Sports,ADV,3,In-Residence
ADV 309R,Introduction to Advertising and Public Relations Research,ADV,3,In-Residence
ADV 314,Social and Ethical Issues,ADV,3,In-Residence
ADV 315,History and Development of Advertising,ADV,3,In-Residence
ADV 316,Creativity and American Culture,ADV,3,In-Residence
ADV 318J,Introduction to Integrated Brand Communication,ADV,3,In-Residence
ADV 319,Psychology of Advertising,ADV,3,In-Residence
ADV 320,Integrated Communication for Nonprofit Organizations,ADV,3,In-Residence
ADV 321,Leadership and Ethics,ADV,3,In-Residence
ADV 322,"Health Communication: Messages, Campaigns, and the Media",ADV,3,In-Residence
ADV 323,Public Communication of Science and Technology,ADV,3,In-Residence
ADV 324,Communicating Sustainability,ADV,3,In-Residence
ADV 325,Introduction to Advertising Creativity,ADV,3,In-Residence
ADV 327,Account Planning,ADV,3,In-Residence
ADV 328,Psychology of Video Game Advertising,ADV,3,In-Residence
ADV 129S,Topics in Advertising,ADV,1,In-Residence
ADV 229S,Topics in Advertising,ADV,2,In-Residence
ADV 329S,Topics in Advertising,ADV,3,In-Residence
ADV 429S,Topics in Advertising,ADV,4,In-Residence
ADV 529S,Topics in Advertising,ADV,5,In-Residence
ADV 629S,Topics in Advertising,ADV,6,In-Residence
ADV 729S,Topics in Advertising,ADV,7,In-Residence
ADV 829S,Topics in Advertising,ADV,8,In-Residence
ADV 929S,Topics in Advertising,ADV,9,In-Residence
ADV 330,Strategic Science Communication,ADV,3,In-Residence
ADV 331,Environmental Communication Campaigns,ADV,3,In-Residence
ADV 332,Technology Marketing and Advertising,ADV,3,In-Residence
ADV 332C,New Media Entrepreneurialism,ADV,3,In-Residence
ADV 332D,Entrepreneurialism in Communication,ADV,3,In-Residence
ADV 334,International Advertising,ADV,3,In-Residence
ADV 336,Multicultural Issues in Advertising and Public Relations,ADV,3,In-Residence
ADV 338K,Digital Creative Portfolio,ADV,3,In-Residence
ADV 338L,Copywriting,ADV,3,In-Residence
ADV 339K,Digital Graphic Communication,ADV,3,In-Residence
ADV 339L,Brand Storytelling,ADV,3,In-Residence
ADV 341S,Research in Sports Communication and Media,ADV,3,In-Residence
ADV 343K,Portfolio I,ADV,3,In-Residence
ADV 344K,Advertising and Public Relations Research,ADV,3,In-Residence
ADV 345J,Advertising and Public Relations Media Planning,ADV,3,In-Residence
ADV 447C,Art Direction,ADV,4,In-Residence
ADV 348S,The Business of Sports Media,ADV,3,In-Residence
ADV 350,Advertising Internship,ADV,3,In-Residence
ADV 650,Advertising Internship,ADV,6,In-Residence
ADV 350S,Internship in Sports Media,ADV,3,In-Residence
ADV 151,Advertising Practicum,ADV,1,In-Residence
ADV 353,Advertising and Public Relations Law and Ethics,ADV,3,In-Residence
ADV 364,Immersive Experiences,ADV,3,In-Residence
ADV 365,Audience Development and Engagement,ADV,3,In-Residence
ADV 366,Special Topics in Advertising,ADV,3,In-Residence
ADV 367,Experimental Storytelling,ADV,3,In-Residence
ADV 368C,Advertising Senior Seminar,ADV,3,In-Residence
ADV 468K,Portfolio II,ADV,4,In-Residence
ADV 468L,Portfolio III,ADV,4,In-Residence
ADV 369,Social Media,ADV,3,In-Residence
ADV 370J,Integrated Communications Management,ADV,3,In-Residence
ADV 373,Integrated Communications Campaigns,ADV,3,In-Residence
ADV 475,Portfolio IV,ADV,4,In-Residence
ADV 377,Advertising Media Topics,ADV,3,In-Residence
ADV 377M,Media Studies,ADV,3,In-Residence
ADV 378,Advanced Studies in Advertising,ADV,3,In-Residence
ADV 378S,Special Topics in Sports Media,ADV,3,In-Residence
ADV 379,Integrated Communication for Sports and Entertainment,ADV,3,In-Residence
ADV 379H,Honors Tutorial Course,ADV,3,In-Residence
ADV 179J,Advertising Problems,ADV,1,In-Residence
ADV 279J,Advertising Problems,ADV,2,In-Residence
ADV 379J,Advertising Problems,ADV,3,In-Residence
ADV 479J,Advertising Problems,ADV,4,In-Residence
ADV 381,Consumer Behavior,ADV,3,In-Residence
ADV 382,Quantitative and Qualitative Research,ADV,3,In-Residence
ADV 382J,Theories of Persuasive Communication and Consumer Decision Making,ADV,3,In-Residence
ADV 483,Supervised Individual Creative Studies,ADV,4,In-Residence
ADV 385,International Advertising,ADV,3,In-Residence
ADV 386,Experimental Storytelling,ADV,3,In-Residence
ADV 387,Creative Strategies,ADV,3,In-Residence
ADV 388C,Research Problems: Doctoral Examination Preparation,ADV,3,In-Residence
ADV 388J,Principles of Advertising Management,ADV,3,In-Residence
ADV 388K,Integrated Communications Management,ADV,3,In-Residence
ADV 189,Problems in Specialized Fields of Advertising,ADV,1,In-Residence
ADV 389,Problems in Specialized Fields of Advertising,ADV,3,In-Residence
ADV 489,Problems in Specialized Fields of Advertising,ADV,4,In-Residence
ADV 391K,Seminar in Advertising,ADV,3,In-Residence
ADV 391L,Invisible Global Market,ADV,3,In-Residence
ADV 392,Issues in Advertising Theory and Research,ADV,3,In-Residence
ADV 395,Advertising Internship,ADV,3,In-Residence
ADV 698,Thesis,ADV,6,In-Residence
ADV 398R,Master's Report,ADV,3,In-Residence
ADV 398T,Student Teaching in Advertising,ADV,3,In-Residence
ADV 399W,Dissertation,ADV,3,In-Residence
ADV 699W,Dissertation,ADV,6,In-Residence
ADV 999W,Dissertation,ADV,9,In-Residence
AED 119S,Topics in Art Education,AED,1,In-Residence
AED 219S,Topics in Art Education,AED,2,In-Residence
AED 319S,Topics in Art Education,AED,3,In-Residence
AED 419S,Topics in Art Education,AED,4,In-Residence
AED 519S,Topics in Art Education,AED,5,In-Residence
AED 619S,Topics in Art Education,AED,6,In-Residence
AED 719S,Topics in Art Education,AED,7,In-Residence
AED 819S,Topics in Art Education,AED,8,In-Residence
AED 919S,Topics in Art Education,AED,9,In-Residence
AED 320,"Exploring Objects, Spaces, and Meaning",AED,3,In-Residence
AED 321C,Children's Artistic Development,AED,3,In-Residence
AED 129S,Topics in Art Education,AED,1,In-Residence
AED 229S,Topics in Art Education,AED,2,In-Residence
AED 329S,Topics in Art Education,AED,3,In-Residence
AED 429S,Topics in Art Education,AED,4,In-Residence
AED 529S,Topics in Art Education,AED,5,In-Residence
AED 629S,Topics in Art Education,AED,6,In-Residence
AED 729S,Topics in Art Education,AED,7,In-Residence
AED 829S,Topics in Art Education,AED,8,In-Residence
AED 929S,Topics in Art Education,AED,9,In-Residence
AED 330,Introduction to Art Education,AED,3,In-Residence
AED 341C,Learners and Instructional Sites,AED,3,In-Residence
AED 351C,"Art Materials, Techniques, and Processes",AED,3,In-Residence
AED 361C,Criticism and Conversation about Art,AED,3,In-Residence
AED 371C,Topics in Art Education,AED,3,In-Residence
AED 372,"Art, Resilience, and Trauma",AED,3,In-Residence
AED 373,"Public Art, Civic Engagement, and Responsive Communities",AED,3,In-Residence
AED 376C,Independent Study,AED,3,In-Residence
AED 379S,Advanced Topics in Art Education,AED,3,In-Residence
AED 381G,Foundations of Art Education,AED,3,In-Residence
AED 381K,Contemporary Issues in Art Education,AED,3,In-Residence
AED 382G,Introduction to Research in Art Education,AED,3,In-Residence
AED 382H,Thesis Proposal and Preparation,AED,3,In-Residence
AED 382L,Applied Project in Art Education,AED,3,In-Residence
AED 383J,Museum Education: History and Theory,AED,3,In-Residence
AED 383K,Museum Education: Practice and Application,AED,3,In-Residence
AED 383L,Issues in Museum Studies,AED,3,In-Residence
AED 384,Special Topics in Art Education,AED,3,In-Residence
AED 385,Independent Study in Art Education,AED,3,In-Residence
AED 386,Internship and Field Study,AED,3,In-Residence
AED 387C,Case Studies in Community-Based Art Education,AED,3,In-Residence
AED 387D,Program Development in Community-Based Art Education,AED,3,In-Residence
AED 388C,Art Instruction through Arts-Based Research,AED,3,In-Residence
AED 388D,Art and the Creation of Meaning,AED,3,In-Residence
AED 388E,Art and Critical Discourse,AED,3,In-Residence
AED 388F,Curriculum Development in Art Education,AED,3,In-Residence
AED 388G,Art in Public Places,AED,3,In-Residence
AED 388H,"Objects, Spaces, and Meanings",AED,3,In-Residence
AED 388I,"Art, Resilience, and Trauma",AED,3,In-Residence
AED 698,Thesis,AED,6,In-Residence
AED 398T,Supervised Teaching in Art Education,AED,3,In-Residence
AET 304,Foundations of Arts and Entertainment Technologies,AET,3,In-Residence
AET 310,Foundations of Creative Coding,AET,3,In-Residence
AET 110T,Topics in Innovative Design,AET,1,In-Residence
AET 310T,Topics in Innovative Design,AET,3,In-Residence
AET 311,Media and Motion,AET,3,In-Residence
AET 312,Games and Interactivity,AET,3,In-Residence
AET 313,Code and Fabrication,AET,3,In-Residence
AET 314,Sound and Space,AET,3,In-Residence
AET 119,Topics in Arts and Entertainment Technologies,AET,1,In-Residence
AET 219,Topics in Arts and Entertainment Technologies,AET,2,In-Residence
AET 319,Topics in Arts and Entertainment Technologies,AET,3,In-Residence
AET 119S,Topics in Arts and Entertainment Technologies,AET,1,In-Residence
AET 219S,Topics in Arts and Entertainment Technologies,AET,2,In-Residence
AET 319S,Topics in Arts and Entertainment Technologies,AET,3,In-Residence
AET 419S,Topics in Arts and Entertainment Technologies,AET,4,In-Residence
AET 519S,Topics in Arts and Entertainment Technologies,AET,5,In-Residence
AET 619S,Topics in Arts and Entertainment Technologies,AET,6,In-Residence
AET 719S,Topics in Arts and Entertainment Technologies,AET,7,In-Residence
AET 819S,Topics in Arts and Entertainment Technologies,AET,8,In-Residence
AET 919S,Topics in Arts and Entertainment Technologies,AET,9,In-Residence
AET 320D,Musical Acoustics,AET,3,In-Residence
AET 320F,Immersive Audio,AET,3,In-Residence
AET 320G,Audio Coding I,AET,3,In-Residence
AET 320J,Music Information Retrieval,AET,3,In-Residence
AET 320L,Generative Music,AET,3,In-Residence
AET 320M,Live Music Coding,AET,3,In-Residence
AET 321C,Audio Processing,AET,3,In-Residence
AET 321F,Film Sound Design,AET,3,In-Residence
AET 323C,Screen Scoring,AET,3,In-Residence
AET 323D,Interactive Music,AET,3,In-Residence
AET 323G,Generative Audio Programming,AET,3,In-Residence
AET 324,Themed Entertainment Design,AET,3,In-Residence
AET 324D,Principles of Animation,AET,3,In-Residence
AET 324F,Videography,AET,3,In-Residence
AET 324J,Visual Storytelling,AET,3,In-Residence
AET 124P,Advanced Production Laboratory,AET,1,In-Residence
AET 224P,Advanced Production Laboratory,AET,2,In-Residence
AET 324P,Advanced Production Laboratory,AET,3,In-Residence
AET 325E,Motion Graphics,AET,3,In-Residence
AET 326E,3D Animation and Rigging,AET,3,In-Residence
AET 326G,Realtime VFX,AET,3,In-Residence
AET 329J,Digital Fabrication,AET,3,In-Residence
AET 129S,Topics in Arts and Entertainment Technologies,AET,1,In-Residence
AET 229S,Topics in Arts and Entertainment Technologies,AET,2,In-Residence
AET 329S,Topics in Arts and Entertainment Technologies,AET,3,In-Residence
AET 429S,Topics in Arts and Entertainment Technologies,AET,4,In-Residence
AET 529S,Topics in Arts and Entertainment Technologies,AET,5,In-Residence
AET 629S,Topics in Arts and Entertainment Technologies,AET,6,In-Residence
AET 729S,Topics in Arts and Entertainment Technologies,AET,7,In-Residence
AET 829S,Topics in Arts and Entertainment Technologies,AET,8,In-Residence
AET 929S,Topics in Arts and Entertainment Technologies,AET,9,In-Residence
AET 130T,Topics in Innovative Design,AET,1,In-Residence
AET 330T,Topics in Innovative Design,AET,3,In-Residence
AET 133,Topics in Video Game Development,AET,1,In-Residence
AET 333,Topics in Video Game Development,AET,3,In-Residence
AET 333D,Video Game Production,AET,3,In-Residence
AET 334,Video Game Character Animation,AET,3,In-Residence
AET 334C,Level Design,AET,3,In-Residence
AET 334E,Video Game Art Pipeline,AET,3,In-Residence
AET 334F,Video Game Scripting I,AET,3,In-Residence
AET 334I,Interactive Environments,AET,3,In-Residence
AET 334J,Multiplayer Video Game Design,AET,3,In-Residence
AET 334K,Video Game Prototyping,AET,3,In-Residence
AET 134L,User Interface/User Experience for Video Games,AET,1,In-Residence
AET 334L,User Interface/User Experience for Video Games,AET,3,In-Residence
AET 334M,Video Game Systems Design,AET,3,In-Residence
AET 334N,Interactive Storytelling,AET,3,In-Residence
AET 334P,User Interfaces,AET,3,In-Residence
AET 334R,Technical Art I,AET,3,In-Residence
AET 334S,Technical Art II,AET,3,In-Residence
AET 335D,Realtime Visualization,AET,3,In-Residence
AET 335F,Video Game Scripting II,AET,3,In-Residence
AET 135J,Live Video Game Design,AET,1,In-Residence
AET 335J,Live Video Game Design,AET,3,In-Residence
AET 335K,Virtual Reality for Video Games,AET,3,In-Residence
AET 335V,Introduction to Mixed Reality,AET,3,In-Residence
AET 336C,Video Game History and Culture,AET,3,In-Residence
AET 337,Writing for Interactive Games,AET,3,In-Residence
AET 337D,Narrative Design,AET,3,In-Residence
AET 337N,Introduction To Narrative,AET,3,In-Residence
AET 139,Advanced Topics in Arts and Entertainment Technologies,AET,1,In-Residence
AET 239,Advanced Topics in Arts and Entertainment Technologies,AET,2,In-Residence
AET 339,Advanced Topics in Arts and Entertainment Technologies,AET,3,In-Residence
AET 439,Advanced Topics in Arts and Entertainment Technologies,AET,4,In-Residence
AET 340C,Event Production,AET,3,In-Residence
AET 341C,Virtual Instruments,AET,3,In-Residence
AET 341D,Digital Musicianship,AET,3,In-Residence
AET 342C,3D Modeling and Texturing,AET,3,In-Residence
AET 342D,3D Materials And Lighting,AET,3,In-Residence
AET 344D,3D Previsualization for Live Entertainment,AET,3,In-Residence
AET 346C,Video Game Modding,AET,3,In-Residence
AET 346F,Video Game Design Challenges,AET,3,In-Residence
AET 348,Concert and Event Lighting,AET,3,In-Residence
AET 348C,Live Event Engineering,AET,3,In-Residence
AET 348K,3D Projection Mapping,AET,3,In-Residence
AET 348L,Advanced System Engineering,AET,3,In-Residence
AET 350C,Advanced Creative Coding,AET,3,In-Residence
AET 351C,Audio Production Lab,AET,3,In-Residence
AET 351E,Do It Yourself Synthesizer Lab,AET,3,In-Residence
AET 153,Advanced Topics in Video Game Development,AET,1,In-Residence
AET 353,Advanced Topics in Video Game Development,AET,3,In-Residence
AET 354C,Cross Platform Storytelling,AET,3,In-Residence
AET 357,Solo Studio,AET,3,In-Residence
AET 358,Topics in Collaborative Studio,AET,3,In-Residence
AET 361C,Physical Computing,AET,3,In-Residence
AET 170,Research Methods Proseminar,AET,1,In-Residence
AET 374,Independent Study,AET,3,In-Residence
AET 375,Portfolio,AET,3,In-Residence
AET 376,Game Capstone: 2-D,AET,3,In-Residence
AET 377,Game Capstone: 3-D,AET,3,In-Residence
AET 378H,Honors Senior Thesis,AET,3,In-Residence
AFR 301,African American Culture,AFR,3,In-Residence
AFR 302M,Numbering Race,AFR,3,In-Residence
AFR 303,Introduction to Black Studies,AFR,3,In-Residence
AFR 304,Introduction to the Study of Africa,AFR,3,In-Residence
AFR 310,Introductory Topics in African and African Diaspora Studies,AFR,3,In-Residence
AFR 310K,Introduction to Modern Africa,AFR,3,In-Residence
AFR 310L,Introduction to Traditional Africa,AFR,3,In-Residence
AFR 311C,"Performance, Feminism, and Social Change",AFR,3,In-Residence
AFR 315,Afro-Brazilian Diaspora,AFR,3,In-Residence
AFR 315C,Introduction to East Austin Ethnography,AFR,3,In-Residence
AFR 315D,Performing Blackness,AFR,3,In-Residence
AFR 315E,The Revolution Will Be Dramatized,AFR,3,In-Residence
AFR 315F,Toni Morrison and August Wilson,AFR,3,In-Residence
AFR 315G,The United States and Africa,AFR,3,In-Residence
AFR 315I,Introduction to African American Women's History,AFR,3,In-Residence
AFR 315J,Introduction to Ancient Egypt,AFR,3,In-Residence
AFR 315K,Introduction to African American History,AFR,3,In-Residence
AFR 315L,Anthropology of Race and Ethnicity: An Introduction,AFR,3,In-Residence
AFR 315M,Students of Color Leadership Issues,AFR,3,In-Residence
AFR 315N,The Black Power Movement,AFR,3,In-Residence
AFR 315O,The Politics of Black Identity,AFR,3,In-Residence
AFR 315P,Introduction to Black Women's Studies,AFR,3,In-Residence
AFR 315Q,Black Queer Art Worlds,AFR,3,In-Residence
AFR 315R,"Diaspora: Race, Nation, and Resistance",AFR,3,In-Residence
AFR 315S,Liberation in the African Diaspora,AFR,3,In-Residence
AFR 315T,African American Literature and Culture,AFR,3,In-Residence
AFR 315U,Music of African Americans,AFR,3,In-Residence
AFR 315V,African Diaspora Archaeology,AFR,3,In-Residence
AFR 315W,"Race, Sex, and Tourism",AFR,3,In-Residence
AFR 316C,Rights in Modern America,AFR,3,In-Residence
AFR 316D,"Race, Deportation, and Diaspora",AFR,3,In-Residence
AFR 316E,Blackness and Comics,AFR,3,In-Residence
AFR 316F,Black and Latinx Intersections,AFR,3,In-Residence
AFR 316K,Introduction to Religions of Latin America,AFR,3,In-Residence
AFR 119S,Topics in African and African Diaspora Studies,AFR,1,In-Residence
AFR 219S,Topics in African and African Diaspora Studies,AFR,2,In-Residence
AFR 319S,Topics in African and African Diaspora Studies,AFR,3,In-Residence
AFR 419S,Topics in African and African Diaspora Studies,AFR,4,In-Residence
AFR 519S,Topics in African and African Diaspora Studies,AFR,5,In-Residence
AFR 619S,Topics in African and African Diaspora Studies,AFR,6,In-Residence
AFR 719S,Topics in African and African Diaspora Studies,AFR,7,In-Residence
AFR 819S,Topics in African and African Diaspora Studies,AFR,8,In-Residence
AFR 919S,Topics in African and African Diaspora Studies,AFR,9,In-Residence
AFR 320C,Power and Place: Making Texas History,AFR,3,In-Residence
AFR 321,The African Diaspora in the Americas,AFR,3,In-Residence
AFR 321K,African American Family,AFR,3,In-Residence
AFR 321L,Sociology of Education,AFR,3,In-Residence
AFR 322,Introduction to African Prehistory,AFR,3,In-Residence
AFR 322D,Race and the Digital,AFR,3,In-Residence
AFR 324E,Racism and Antiracism,AFR,3,In-Residence
AFR 325C,Latinx Sexualities,AFR,3,In-Residence
AFR 325D,Gender and Translation in the Arab World,AFR,3,In-Residence
AFR 326,Afro-Caribbean Politics and Culture in Central America,AFR,3,In-Residence
AFR 129S,Topics in African and African Diaspora Studies,AFR,1,In-Residence
AFR 229S,Topics in African and African Diaspora Studies,AFR,2,In-Residence
AFR 329S,Topics in African and African Diaspora Studies,AFR,3,In-Residence
AFR 429S,Topics in African and African Diaspora Studies,AFR,4,In-Residence
AFR 529S,Topics in African and African Diaspora Studies,AFR,5,In-Residence
AFR 629S,Topics in African and African Diaspora Studies,AFR,6,In-Residence
AFR 729S,Topics in African and African Diaspora Studies,AFR,7,In-Residence
AFR 829S,Topics in African and African Diaspora Studies,AFR,8,In-Residence
AFR 929S,Topics in African and African Diaspora Studies,AFR,9,In-Residence
AFR 330,Beyonce Feminism and Rihanna Womanism,AFR,3,In-Residence
AFR 330C,Fashion And Desire,AFR,3,In-Residence
AFR 330D,Literature of the Harlem Renaissance,AFR,3,In-Residence
AFR 330E,Gwendolyn Brooks,AFR,3,In-Residence
AFR 330F,Writing for Black Performance,AFR,3,In-Residence
AFR 330I,The Arts of Hip Hop,AFR,3,In-Residence
AFR 330J,Toni Morrison,AFR,3,In-Residence
AFR 330K,African American Literature through the Harlem Renaissance,AFR,3,In-Residence
AFR 330L,African American Literature since the Harlem Renaissance,AFR,3,In-Residence
AFR 330M,Contemporary African American Women's Fiction,AFR,3,In-Residence
AFR 330N,Self-Revelation in Women's Writing,AFR,3,In-Residence
AFR 330O,Black Film at the Oscars,AFR,3,In-Residence
AFR 330P,Writing Slavery,AFR,3,In-Residence
AFR 330Q,Caribbean Literature,AFR,3,In-Residence
AFR 330R,Literature of Black Politics,AFR,3,In-Residence
AFR 330S,Danticat and Diaz,AFR,3,In-Residence
AFR 330T,Diasporic Magic: Literature and Performance,AFR,3,In-Residence
AFR 330U,Home in Contemporary Black Fiction,AFR,3,In-Residence
AFR 330V,Greek Tragedies and Postcolonial Dramas,AFR,3,In-Residence
AFR 330W,Black Queer Literature and Film,AFR,3,In-Residence
AFR 331,Early Black Atlantic,AFR,3,In-Residence
